max_length top_p top_k temperature
1)503.00 0.95 20.00 0.73
2)673.00 0.46 45.00 1.51
3)622.00 0.34 29.00 1.65
4)143.00 0.39 64.00 0.32
5)485.00 0.10 33.00 1.30
6)422.00 0.51 66.00 1.44
7)133.00 0.80 64.00 1.38
8)854.00 0.67 67.00 1.68
9)198.00 0.85 39.00 1.01
10)801.00 0.25 45.00 1.50
6209.00 0.26 99.00 0.21
9180.00 0.97 69.00 1.52
2485.00 0.03 84.00 0.81
3228.00 0.20 80.00 0.34
145.00 0.91 61.00 0.96
441.00 0.33 70.00 1.72
3974.00 0.86 80.00 1.85
8812.00 0.39 64.00 1.07
1862.00 0.28 43.00 1.17
7333.00 0.80 45.00 0.43
5662.00 0.66 86.00 0.59
4737.00 0.23 58.00 0.73
1992.00 0.33 49.00 1.87
8178.00 0.11 78.00 0.64
4476.00 0.06 99.00 0.34
9953.00 0.37 61.00 1.53
9608.00 0.55 87.00 0.94
3739.00 0.97 34.00 1.66
9801.00 0.03 14.00 0.91
6128.00 0.83 53.00 1.71
7176.00 0.99 42.00 0.59
1537.00 0.31 82.00 0.04
1472.00 0.45 37.00 1.60
4100.00 0.97 94.00 1.00
9850.00 0.32 6.00 0.13
8586.00 0.34 21.00 1.07
2739.00 0.02 48.00 1.43
2941.00 0.04 9.00 1.89
5960.00 0.77 18.00 1.88
7396.00 0.82 50.00 1.64
9814.00 0.73 44.00 0.02
292.00 0.76 5.00 1.21
3371.00 0.95 97.00 1.58
2322.00 0.71 58.00 0.51
9060.00 0.67 50.00 1.26
5711.00 0.75 23.00 0.92
6989.00 0.24 95.00 0.37
7123.00 0.06 83.00 1.00
2550.00 0.13 62.00 0.26
2860.00 0.60 71.00 0.49
6575.00 0.56 30.00 0.85
9700.00 0.72 43.00 0.06
8612.00 0.13 28.00 1.42
4080.00 0.73 79.00 0.22
6416.00 0.47 21.00 1.37
8322.00 0.98 7.00 1.77
236.00 0.19 34.00 2.00
9760.00 0.82 56.00 1.01
130.00 0.75 53.00 0.82
9342.00 0.38 40.00 0.16
5512.00 0.02 32.00 0.74
1750.00 0.52 32.00 1.07
991.00 0.18 99.00 1.96
4165.00 0.73 11.00 0.09
7041.00 0.04 96.00 0.10
5554.00 0.38 97.00 1.32
4298.00 0.40 15.00 0.32
9103.00 0.49 3.00 0.79
7920.00 0.48 36.00 1.82
1147.00 0.90 25.00 0.26
8351.00 0.21 20.00 1.99
5328.00 0.99 95.00 1.99
4408.00 0.20 93.00 0.17
4782.00 0.06 31.00 1.45
3250.00 0.04 36.00 0.95
1695.00 0.36 53.00 1.03
9981.00 0.51 18.00 0.92
6861.00 0.49 57.00 0.46
760.00 0.46 50.00 0.52
7196.00 0.93 74.00 0.69
3021.00 0.32 71.00 0.76
5003.00 0.68 88.00 0.53
9073.00 0.39 17.00 0.88
2951.00 0.50 82.00 0.97
5040.00 0.09 48.00 0.99
5568.00 0.18 21.00 0.39
2975.00 0.81 82.00 1.92
3543.00 0.41 24.00 0.50
7869.00 0.29 46.00 1.09
5428.00 0.16 21.00 1.06
4342.00 0.82 14.00 0.24
7295.00 0.12 80.00 0.20
3172.00 0.83 55.00 0.70
5693.00 0.18 2.00 1.77
3983.00 0.11 41.00 0.99
7590.00 0.64 67.00 1.57
5893.00 0.20 38.00 1.47
5250.00 0.62 67.00 0.49
3113.00 0.31 90.00 1.79
2093.00 0.59 57.00 0.63
4037.00 0.03 65.00 0.81
2158.00 0.43 23.00 0.83
6157.00 0.88 47.00 1.46
2650.00 0.90 7.00 1.37
790.00 0.39 79.00 1.15
3546.00 0.46 80.00 0.23
595.00 0.17 72.00 1.73
1153.00 0.94 77.00 0.54
3787.00 0.16 98.00 0.57
6514.00 0.69 29.00 0.20
2788.00 0.32 13.00 1.57
6628.00 0.23 45.00 1.25
9426.00 0.47 86.00 1.98
8146.00 0.02 97.00 1.64
7695.00 0.56 66.00 1.28
254.00 0.88 57.00 0.89
1105.00 0.91 75.00 0.53
9520.00 0.92 96.00 0.41
1923.00 0.72 12.00 0.02
7484.00 0.22 92.00 0.38
5274.00 0.78 92.00 1.22
9391.00 0.85 57.00 1.03
8886.00 0.37 11.00 1.76
3061.00 0.27 2.00 0.31
1831.00 0.95 24.00 1.16
3443.00 0.60 42.00 0.09
6875.00 0.88 32.00 1.68
9383.00 0.67 89.00 0.71
6343.00 0.00 97.00 0.58
6951.00 0.76 62.00 0.01
9257.00 0.27 85.00 0.76
4462.00 0.95 19.00 1.69
3247.00 0.12 74.00 0.42
6693.00 0.25 96.00 1.79
1316.00 0.25 18.00 1.84
4186.00 0.87 2.00 0.06
1301.00 0.25 46.00 0.39
7055.00 0.65 8.00 1.75
3089.00 0.74 81.00 1.92
3480.00 0.98 79.00 0.15
5635.00 0.13 23.00 0.86
7529.00 0.53 5.00 0.84
9454.00 0.08 27.00 0.69
3337.00 0.28 53.00 0.09
7826.00 0.89 20.00 0.75
4138.00 0.42 98.00 1.06
5733.00 0.91 90.00 0.29
7486.00 0.21 19.00 1.04
710.00 0.28 23.00 0.70
8518.00 0.15 86.00 1.86
4649.00 0.01 48.00 1.08
8464.00 0.93 30.00 1.61
8371.00 0.50 35.00 1.37
2175.00 0.36 44.00 1.11
3945.00 0.80 8.00 1.50
1362.00 0.58 22.00 0.33
5126.00 0.73 60.00 0.55
2071.00 0.61 19.00 1.81
7972.00 0.41 73.00 1.90
2628.00 0.57 88.00 1.91
2045.00 0.52 56.00 0.94
487.00 0.76 91.00 0.54
4854.00 0.41 32.00 0.27
2009.00 0.81 34.00 0.00
2726.00 0.57 74.00 1.42
2114.00 0.80 49.00 1.63
743.00 0.57 55.00 0.22
8451.00 0.63 75.00 1.33
6542.00 0.73 25.00 1.82
7371.00 0.31 4.00 0.01
5223.00 0.32 85.00 0.60
9923.00 0.24 72.00 1.65
5018.00 0.60 94.00 1.66
1794.00 0.70 86.00 1.58
1644.00 0.16 10.00 0.73
7214.00 0.53 39.00 0.64
1112.00 0.78 65.00 1.59
811.00 0.42 17.00 1.30
5206.00 0.94 94.00 1.63
7141.00 0.87 79.00 0.10
5177.00 0.02 39.00 1.46
8776.00 0.80 3.00 1.21
4954.00 0.85 89.00 1.78
6041.00 0.62 69.00 1.02
2849.00 0.54 13.00 0.61
9736.00 0.48 95.00 0.19
9570.00 0.67 30.00 0.52
8716.00 0.55 96.00 0.03
8832.00 0.43 60.00 1.83
8035.00 0.92 52.00 1.23
5352.00 0.10 78.00 1.44
400.00 0.77 74.00 0.29
7277.00 0.35 20.00 0.47
6907.00 0.89 64.00 1.71
1649.00 0.37 8.00 1.94
8547.00 0.91 27.00 0.43
6245.00 0.03 47.00 1.39
7608.00 0.40 68.00 1.82
1380.00 0.46 72.00 0.62
2030.00 0.12 32.00 0.98
9244.00 0.47 9.00 1.93
9920.00 0.58 56.00 0.95
8235.00 0.16 100.00 0.80
328.00 0.56 98.00 0.23
5795.00 0.40 98.00 1.47
4796.00 0.53 88.00 1.13
6092.00 0.94 81.00 1.51
5472.00 0.23 60.00 1.63
4873.00 0.65 40.00 0.53
7707.00 0.83 63.00 0.56
8929.00 0.83 7.00 0.05
2895.00 0.42 54.00 0.48
3911.00 0.79 11.00 0.17
189.00 0.16 59.00 1.57
691.00 0.34 42.00 0.68
4363.00 0.57 41.00 1.55
1976.00 0.35 31.00 0.66
8261.00 0.84 80.00 0.61
3856.00 0.34 9.00 0.85
9968.00 0.95 32.00 1.70
508.00 0.87 1.00 1.67
6168.00 0.14 94.00 0.28
8136.00 0.99 48.00 0.55
3617.00 0.49 14.00 1.48
7996.00 0.38 59.00 1.36
9158.00 0.14 52.00 0.55
2293.00 0.78 63.00 0.26
3594.00 0.72 90.00 1.33
8832.00 0.15 46.00 0.41
8942.00 0.75 30.00 1.44
522.00 0.36 5.00 0.51
7167.00 0.96 3.00 0.06
4330.00 0.48 17.00 0.15
5416.00 0.56 9.00 1.16
7323.00 0.21 3.00 1.58
5135.00 0.94 92.00 0.93
8974.00 0.72 69.00 1.89
372.00 0.19 37.00 1.97
8858.00 0.22 12.00 1.06
3864.00 0.63 70.00 1.65
8082.00 0.68 68.00 0.80
9629.00 0.84 28.00 1.09
2386.00 0.09 45.00 0.30
3636.00 0.55 42.00 0.72
4897.00 0.45 93.00 0.18
7630.00 0.71 36.00 1.23
6521.00 0.84 22.00 1.18
3036.00 0.44 27.00 1.32
3130.00 0.49 47.00 1.54
5541.00 0.23 1.00 1.84
1186.00 0.76 35.00 0.81
2299.00 0.27 65.00 0.87
6464.00 0.91 76.00 1.28
8251.00 0.33 73.00 0.31
7555.00 0.16 61.00 1.56
9300.00 0.79 4.00 0.40
1866.00 0.59 89.00 1.40
6791.00 0.58 76.00 0.63
3397.00 0.42 17.00 0.50
6037.00 0.56 11.00 0.83
9600.00 0.38 91.00 1.50
9286.00 0.41 41.00 1.73
2345.00 0.50 59.00 1.29
6380.00 0.70 94.00 1.13
6770.00 0.71 7.00 0.08
1197.00 0.75 74.00 0.20
2689.00 0.61 88.00 1.71
6328.00 0.23 52.00 0.08
8505.00 0.98 20.00 1.73
4290.00 0.85 9.00 0.74
9833.00 0.93 98.00 0.92
3748.00 0.43 72.00 1.35
7895.00 0.64 61.00 1.18
6368.00 0.91 17.00 0.04
2442.00 0.44 62.00 1.05
8638.00 0.13 76.00 1.42
9313.00 0.52 6.00 1.79
8617.00 0.59 71.00 1.85
9881.00 0.33 53.00 1.22
9121.00 0.76 5.00 1.95
3193.00 0.96 58.00 0.64
1602.00 0.86 54.00 1.94
4228.00 0.29 20.00 1.80
2232.00 0.53 14.00 1.15
1405.00 0.08 85.00 0.97
3673.00 0.80 78.00 1.24
2612.00 0.15 15.00 1.49
3417.00 0.90 81.00 0.25
6311.00 0.64 7.00 1.45
8573.00 0.55 40.00 1.04
903.00 0.24 96.00 0.24
2128.00 0.22 55.00 1.81
2510.00 0.77 61.00 1.84
560.00 0.02 49.00 1.10
1230.00 0.15 23.00 1.11
3362.00 0.14 15.00 1.50
9764.00 0.96 95.00 1.11
1034.00 0.81 49.00 1.22
1740.00 0.07 25.00 1.96
2412.00 0.99 18.00 1.02
3766.00 0.66 5.00 0.24
4927.00 0.00 4.00 0.36
2474.00 0.30 66.00 0.30
2373.00 0.06 91.00 1.51
7014.00 0.66 46.00 0.37
9414.00 0.03 25.00 1.49
6571.00 0.69 47.00 1.08
5847.00 0.86 33.00 0.71
1264.00 0.65 29.00 0.05
8380.00 0.29 24.00 0.72
5624.00 0.92 87.00 1.52
1081.00 0.17 28.00 0.03
9130.00 0.23 85.00 0.72
1281.00 0.43 12.00 0.58
6402.00 0.26 1.00 1.21
1013.00 0.65 93.00 1.80
5323.00 0.42 77.00 1.50
9664.00 0.63 35.00 1.89
5393.00 0.19 38.00 0.58
6659.00 0.06 71.00 1.61
999.00 0.61 69.00 0.94
6716.00 0.42 52.00 1.95
3822.00 0.45 69.00 1.39
7505.00 0.82 13.00 0.12
5986.00 0.08 16.00 0.41
3517.00 0.44 62.00 0.66
7097.00 0.19 96.00 0.03
4669.00 0.72 50.00 1.20
206.00 0.62 27.00 0.65
3651.00 0.51 31.00 0.90
5978.00 0.11 75.00 0.50
1332.00 0.90 64.00 0.38
386.00 0.58 39.00 0.18
