max_length top_p top_k temperature
503.00 0.95 20.00 0.73
673.00 0.46 45.00 1.51
622.00 0.34 29.00 1.65
143.00 0.39 64.00 0.32
485.00 0.10 33.00 1.30
422.00 0.51 66.00 1.44
133.00 0.80 64.00 1.38
854.00 0.67 67.00 1.68
198.00 0.85 39.00 1.01
801.00 0.25 45.00 1.50
376.00 0.44 74.00 0.80
375.00 0.96 25.00 0.16
809.00 0.90 3.00 1.55
672.00 0.70 21.00 1.62
385.00 0.25 38.00 0.78
960.00 0.06 72.00 1.17
980.00 0.53 30.00 1.19
525.00 0.34 26.00 0.19
961.00 0.84 93.00 1.25
100.00 0.59 100.00 0.13
995.00 0.18 66.00 1.94
265.00 0.32 46.00 1.47
339.00 0.16 18.00 1.84
795.00 0.91 9.00 1.92
140.00 0.80 72.00 0.84
924.00 0.47 7.00 1.25
103.00 0.35 73.00 0.47
804.00 0.45 37.00 1.03
510.00 0.62 57.00 0.50
681.00 0.89 34.00 1.63
664.00 0.02 13.00 1.50
790.00 0.30 75.00 0.85
182.00 0.87 78.00 1.42
462.00 0.77 40.00 0.78
271.00 0.69 35.00 0.98
670.00 0.98 65.00 1.90
193.00 0.52 50.00 0.79
761.00 0.14 72.00 0.60
215.00 0.34 56.00 1.41
280.00 0.67 2.00 1.95
423.00 0.76 13.00 1.86
309.00 0.99 60.00 0.17
771.00 0.96 93.00 1.73
469.00 0.14 94.00 0.43
662.00 0.05 9.00 0.42
629.00 0.92 0.00 1.33
526.00 0.85 96.00 0.63
735.00 0.73 30.00 0.70
893.00 0.34 9.00 0.89
770.00 0.88 77.00 1.04
570.00 0.54 89.00 1.79
365.00 0.33 60.00 0.33
461.00 0.98 97.00 1.62
458.00 0.89 22.00 1.45
866.00 0.45 77.00 1.05
157.00 0.20 54.00 1.47
106.00 0.37 3.00 1.66
350.00 0.55 29.00 1.09
835.00 0.11 49.00 1.42
500.00 0.67 75.00 1.17
723.00 0.07 37.00 1.30
650.00 0.45 86.00 1.77
963.00 0.53 73.00 0.84
268.00 0.21 11.00 1.72
760.00 0.33 59.00 0.98
548.00 0.26 51.00 1.56
847.00 0.99 9.00 1.45
585.00 0.47 87.00 0.26
543.00 0.38 59.00 1.78
184.00 0.68 71.00 1.48
999.00 0.03 13.00 0.27
179.00 0.31 83.00 0.99
758.00 0.37 60.00 0.04
244.00 0.58 28.00 0.95
879.00 0.39 53.00 0.69
705.00 0.12 15.00 1.52
253.00 0.86 84.00 0.10
217.00 0.92 28.00 0.88
311.00 0.39 66.00 0.33
150.00 0.02 89.00 1.03
187.00 0.73 31.00 1.20
210.00 0.94 90.00 1.92
926.00 0.66 46.00 0.76
416.00 0.34 22.00 0.73
358.00 0.07 19.00 0.14
264.00 0.90 12.00 1.57
995.00 0.92 94.00 1.24
424.00 0.51 91.00 1.94
781.00 0.89 47.00 0.65
817.00 0.77 26.00 0.19
429.00 0.61 85.00 0.90
828.00 0.77 28.00 1.00
478.00 0.26 61.00 0.49
496.00 0.62 61.00 0.91
984.00 0.82 79.00 0.05
480.00 0.28 1.00 1.65
254.00 0.04 20.00 1.98
800.00 0.76 75.00 0.93
580.00 0.80 5.00 0.72
